연번,수송일자,호선,고유역번호(외부역코드),역명,승하차구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
50,2022-01-25,2,218,종합운동장,하차,39,207,359,773,471,308,245,293,354,371,364,406,636,1099,784,420,575,259,119,0
51,2022-01-26,2,218,종합운동장,승차,52,202,599,845,664,425,344,374,379,459,402,466,597,768,499,349,323,126,35,0
52,2022-01-26,2,218,종합운동장,하차,49,239,398,742,508,393,250,357,349,294,383,442,620,1183,762,397,586,270,123,0
53,2022-01-27,2,218,종합운동장,승차,47,196,626,865,600,423,312,368,446,457,400,508,624,830,494,752,460,119,43,0
54,2022-01-27,2,218,종합운동장,하차,37,250,327,743,492,335,254,447,446,488,532,585,686,1150,680,456,621,280,117,0
55,2022-01-28,2,218,종합운동장,승차,57,169,565,839,556,377,321,341,403,550,478,616,628,595,394,295,228,100,47,0
56,2022-01-28,2,218,종합운동장,하차,43,184,331,668,407,262,253,371,387,454,513,565,830,991,638,322,495,264,115,0
57,2022-01-29,2,218,종합운동장,승차,42,98,105,200,246,304,273,270,352,354,343,305,279,293,172,133,119,76,34,0
58,2022-01-29,2,218,종합운동장,하차,22,141,99,244,220,184,184,229,315,324,303,304,334,286,259,228,315,149,74,0
59,2022-01-30,2,218,종합운동장,승차,31,47,54,136,174,221,183,256,319,356,302,314,214,926,352,142,91,49,26,0
60,2022-01-30,2,218,종합운동장,하차,34,125,95,141,207,222,159,238,276,353,514,903,261,230,179,168,224,122,62,0
61,2022-01-31,2,218,종합운동장,승차,31,61,43,67,117,118,123,164,169,204,159,168,200,146,134,90,95,43,24,0
62,2022-01-31,2,218,종합운동장,하차,24,71,44,91,110,86,78,121,132,176,161,207,191,186,137,147,146,95,43,0
63,2022-02-01,2,218,종합운동장,승차,27,58,64,67,79,79,98,111,176,140,151,153,180,170,100,98,60,48,21,0
64,2022-02-01,2,218,종합운동장,하차,22,52,33,82,73,91,82,126,137,171,209,171,201,142,138,114,119,94,40,0
65,2022-02-02,2,218,종합운동장,승차,32,48,47,104,127,139,146,212,262,363,290,295,292,287,291,239,152,69,27,0
66,2022-02-02,2,218,종합운동장,하차,26,83,47,105,105,102,117,197,266,324,267,380,368,292,211,186,260,128,57,0
67,2022-02-03,2,218,종합운동장,승차,46,187,560,799,525,360,332,299,303,359,374,422,441,655,327,250,264,98,44,0
68,2022-02-03,2,218,종합운동장,하차,49,210,275,684,496,290,249,281,271,346,322,416,585,947,651,353,418,215,104,0
69,2022-02-04,2,218,종합운동장,승차,51,175,548,780,538,334,295,312,305,446,428,529,505,682,347,210,192,87,38,0
70,2022-02-04,2,218,종합운동장,하차,44,256,299,749,371,290,216,320,338,387,362,415,594,958,666,314,499,237,97,0
71,2022-02-05,2,218,종합운동장,승차,26,82,111,190,284,230,277,330,379,425,348,364,340,273,268,166,142,66,32,0
72,2022-02-05,2,218,종합운동장,하차,33,177,186,273,259,201,165,269,328,393,336,339,377,286,253,200,349,168,90,0
73,2022-02-06,2,218,종합운동장,승차,28,68,50,129,188,208,191,308,398,475,392,530,1328,274,217,161,99,49,25,0
74,2022-02-06,2,218,종합운동장,하차,24,135,77,177,249,270,233,447,578,1266,299,324,356,223,207,188,242,110,68,0
75,2022-02-07,2,218,종합운동장,승차,52,204,631,810,619,357,310,409,299,422,364,460,517,663,312,225,196,73,39,0
76,2022-02-07,2,218,종합운동장,하차,46,235,491,884,478,283,240,322,276,360,321,412,558,972,616,348,418,201,92,0
77,2022-02-08,2,218,종합운동장,승차,53,214,552,827,617,360,340,423,307,381,336,482,550,698,367,210,252,94,43,0
78,2022-02-08,2,218,종합운동장,하차,41,208,433,923,429,311,225,320,273,322,341,418,565,997,675,378,473,213,110,0
79,2022-02-09,2,218,종합운동장,승차,48,196,583,838,611,388,354,396,278,437,356,449,546,679,340,300,417,110,47,0
80,2022-02-09,2,218,종합운동장,하차,41,226,412,999,467,342,207,356,333,349,316,397,655,1103,647,355,534,248,108,0
81,2022-02-10,2,218,종합운동장,승차,57,177,581,837,666,359,332,340,329,445,385,476,513,691,339,193,276,105,58,0
82,2022-02-10,2,218,종합운동장,하차,39,197,400,852,505,284,238,335,309,322,317,378,579,911,636,364,521,268,114,0
83,2022-02-11,2,218,종합운동장,승차,45,176,551,774,597,325,293,369,361,462,429,485,635,692,344,278,280,109,47,0
84,2022-02-11,2,218,종합운동장,하차,50,231,370,736,469,291,253,328,332,373,371,466,600,1007,677,390,514,269,100,0
85,2022-02-12,2,218,종합운동장,승차,39,89,119,198,287,284,305,329,409,457,397,433,328,292,354,217,216,96,36,0
86,2022-02-12,2,218,종합운동장,하차,32,188,188,283,261,234,235,340,318,402,434,498,417,281,267,212,360,194,80,0
87,2022-02-13,2,218,종합운동장,승차,28,67,60,142,200,239,248,297,388,459,318,344,301,383,299,123,174,83,28,0
88,2022-02-13,2,218,종합운동장,하차,27,171,82,199,210,219,208,299,302,337,348,501,371,267,250,206,263,125,75,0
89,2022-02-14,2,218,종합운동장,승차,62,193,583,842,589,386,294,306,330,393,468,411,431,653,334,191,222,88,47,0
90,2022-02-14,2,218,종합운동장,하차,38,237,333,723,483,306,244,358,285,339,334,416,554,1038,627,378,408,200,93,0
91,2022-02-15,2,218,종합운동장,승차,59,194,579,844,594,333,323,340,328,382,325,396,482,649,330,222,430,109,33,0
92,2022-02-15,2,218,종합운동장,하차,60,213,346,814,461,307,254,250,291,333,334,388,578,1093,647,360,479,238,84,0
93,2022-02-16,2,218,종합운동장,승차,70,178,557,804,524,360,272,285,307,422,354,359,485,664,341,234,215,93,40,0
94,2022-02-16,2,218,종합운동장,하차,35,195,315,727,433,282,204,280,324,289,290,387,474,962,651,348,451,215,99,0
95,2022-02-17,2,218,종합운동장,승차,57,174,558,757,543,341,283,304,300,427,291,383,470,666,339,214,243,93,42,0
96,2022-02-17,2,218,종합운동장,하차,50,182,319,699,369,288,198,288,275,305,307,334,528,915,636,363,466,225,124,0
97,2022-02-18,2,218,종합운동장,승차,58,165,517,754,545,351,265,262,284,429,391,402,504,662,372,200,239,106,46,0
98,2022-02-18,2,218,종합운동장,하차,44,197,298,646,408,271,224,303,282,339,341,389,556,885,658,321,452,240,110,0
99,2022-02-19,2,218,종합운동장,승차,43,84,116,203,276,253,299,310,407,410,374,393,353,297,155,125,113,83,38,0
100,2022-02-19,2,218,종합운동장,하차,46,169,159,270,210,223,203,361,346,379,338,350,370,325,239,205,237,246,89,0
101,2022-02-20,2,218,종합운동장,승차,34,54,59,131,160,241,207,316,346,390,293,345,245,223,187,121,87,54,31,0
102,2022-02-20,2,218,종합운동장,하차,24,122,72,179,214,236,157,251,289,278,278,286,296,270,189,152,164,170,72,0
103,2022-02-21,2,218,종합운동장,승차,58,178,605,772,537,333,246,286,318,556,362,391,473,702,373,219,171,101,39,0
104,2022-02-21,2,218,종합운동장,하차,42,218,387,676,456,304,215,281,275,278,309,348,531,972,606,337,329,255,107,0
105,2022-02-22,2,218,종합운동장,승차,51,168,571,799,613,390,292,303,335,510,342,366,483,641,362,194,165,116,52,0
106,2022-02-22,2,218,종합운동장,하차,34,192,364,731,412,427,221,345,260,265,310,376,511,924,617,333,336,331,124,0
107,2022-02-23,2,218,종합운동장,승차,47,166,524,799,558,344,295,287,305,537,346,363,469,623,343,245,223,119,37,0
108,2022-02-23,2,218,종합운동장,하차,39,204,352,675,464,349,229,232,282,250,316,328,541,933,589,353,324,337,131,0
109,2022-02-24,2,218,종합운동장,승차,54,166,556,744,529,330,279,311,313,477,282,373,467,629,337,210,167,105,52,0
110,2022-02-24,2,218,종합운동장,하차,42,169,356,631,410,291,216,261,267,269,313,340,486,891,586,322,292,389,132,0
111,2022-02-25,2,218,종합운동장,승차,35,149,523,751,556,326,320,322,347,560,376,442,523,633,334,237,195,210,54,0
112,2022-02-25,2,218,종합운동장,하차,35,187,360,633,366,311,231,317,331,297,358,392,566,928,593,304,306,829,146,0
113,2022-02-26,2,218,종합운동장,승차,35,86,110,210,262,264,258,277,461,493,374,407,371,267,165,110,92,89,44,0
114,2022-02-26,2,218,종합운동장,하차,20,176,171,242,235,230,219,366,355,315,411,375,358,315,244,203,214,239,106,0
115,2022-02-27,2,218,종합운동장,승차,23,56,53,164,176,214,258,298,408,589,364,349,252,265,185,199,112,60,27,0
116,2022-02-27,2,218,종합운동장,하차,30,159,102,184,214,248,232,319,304,275,286,280,295,282,204,164,174,178,75,0
