연번,수송일자,호선,고유역번호(외부역코드),역명,승하차구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
217,2022-04-19,2,218,종합운동장,승차,59,223,746,921,643,391,365,340,313,291,306,680,561,707,391,442,1767,265,68,0
218,2022-04-19,2,218,종합운동장,하차,29,250,622,1223,494,362,285,316,283,320,445,564,1316,1779,826,370,365,333,195,0
219,2022-04-20,2,218,종합운동장,승차,56,232,704,942,626,415,324,345,344,304,401,656,589,782,414,987,2067,250,80,0
220,2022-04-20,2,218,종합운동장,하차,36,279,657,1215,441,330,261,360,371,341,555,596,1422,2504,1119,470,377,328,239,0
221,2022-04-21,2,218,종합운동장,승차,59,227,699,997,745,407,314,333,294,286,331,726,621,702,383,372,777,1241,113,0
222,2022-04-21,2,218,종합운동장,하차,35,236,569,1236,709,358,263,307,340,307,499,602,1260,1816,828,409,365,368,225,0
223,2022-04-22,2,218,종합운동장,승차,52,228,681,866,587,371,345,296,319,323,547,631,628,744,439,855,1297,3382,808,0
224,2022-04-22,2,218,종합운동장,하차,34,254,549,1018,458,328,259,384,361,442,563,820,2603,4190,1418,436,378,392,297,0
225,2022-04-23,2,218,종합운동장,승차,53,104,155,229,360,303,393,358,375,409,391,445,470,482,811,6840,610,187,62,0
226,2022-04-23,2,218,종합운동장,하차,22,216,362,398,293,274,270,406,519,765,2377,5589,1659,414,351,345,235,247,213,0
227,2022-04-24,2,218,종합운동장,승차,35,77,92,181,244,279,339,434,413,345,388,609,4433,761,379,1339,339,120,48,0
228,2022-04-24,2,218,종합운동장,하차,24,200,158,277,399,480,476,1469,3939,1119,943,883,344,316,273,243,214,180,139,0
229,2022-04-25,2,218,종합운동장,승차,69,237,725,912,702,430,426,314,316,256,354,393,539,646,333,178,221,147,59,0
230,2022-04-25,2,218,종합운동장,하차,33,252,598,1138,447,377,255,378,275,276,338,376,544,967,584,355,349,338,180,0
231,2022-04-26,2,218,종합운동장,승차,51,239,700,922,685,422,400,448,290,294,428,378,577,724,380,365,1470,855,105,0
232,2022-04-26,2,218,종합운동장,하차,39,254,550,1078,439,430,280,424,285,360,496,479,1422,1863,804,373,447,376,244,0
233,2022-04-27,2,218,종합운동장,승차,73,248,705,986,648,485,486,394,407,408,359,477,630,670,373,336,982,1349,113,0
234,2022-04-27,2,218,종합운동장,하차,33,247,612,1184,537,422,285,429,315,399,564,613,1332,1841,748,413,443,448,294,0
235,2022-04-28,2,218,종합운동장,승차,52,238,745,923,641,442,379,564,314,310,331,394,652,681,403,445,666,1951,105,0
236,2022-04-28,2,218,종합운동장,하차,43,263,598,1041,540,383,254,358,327,333,529,659,1513,2071,861,381,374,464,286,0
237,2022-04-29,2,218,종합운동장,승차,72,198,676,920,605,440,371,469,364,357,584,666,825,827,488,449,921,7113,1409,0
238,2022-04-29,2,218,종합운동장,하차,27,213,509,961,448,386,283,430,415,507,834,1259,4909,5482,1624,442,427,520,462,0
239,2022-04-30,2,218,종합운동장,승차,45,104,137,226,342,414,442,434,534,520,537,593,633,653,3852,5584,1797,1038,70,0
240,2022-04-30,2,218,종합운동장,하차,23,265,345,358,348,400,315,602,676,1242,3634,7601,1922,498,403,450,402,331,208,0
241,2022-05-01,2,218,종합운동장,승차,35,83,89,203,283,328,426,508,454,408,509,1846,6449,436,245,198,2458,189,57,0
242,2022-05-01,2,218,종합운동장,하차,26,188,159,387,382,565,708,2511,5662,1713,1365,1012,486,373,317,370,323,208,133,0
243,2022-05-02,2,218,종합운동장,승차,72,253,733,1018,649,423,349,326,304,366,542,511,595,735,372,838,1354,208,73,0
244,2022-05-02,2,218,종합운동장,하차,41,337,704,1224,520,333,275,348,339,352,429,448,992,2589,846,398,402,346,258,0
245,2022-05-03,2,218,종합운동장,승차,71,230,750,955,674,406,377,368,340,328,368,687,614,697,484,455,3893,1236,147,0
246,2022-05-03,2,218,종합운동장,하차,35,288,651,1233,518,386,273,350,340,381,540,804,2805,3402,1020,419,455,395,279,0
247,2022-05-04,2,218,종합운동장,승차,54,251,766,1003,641,418,387,372,362,360,503,701,720,856,512,1041,5100,2862,234,0
248,2022-05-04,2,218,종합운동장,하차,45,301,664,1263,484,389,297,383,391,423,647,1180,4066,6235,1655,528,517,498,371,0
249,2022-05-05,2,218,종합운동장,승차,45,97,138,195,314,291,353,441,496,386,460,1186,7883,1104,349,182,224,143,73,0
250,2022-05-05,2,218,종합운동장,하차,24,185,178,282,354,631,1137,4335,5741,860,429,366,485,281,244,254,251,242,165,0
251,2022-05-06,2,218,종합운동장,승차,53,185,585,776,598,369,365,411,384,387,594,1852,701,704,465,493,3771,1891,100,0
252,2022-05-06,2,218,종합운동장,하차,38,276,547,998,482,650,913,704,372,519,720,1069,3122,2715,802,372,447,413,296,0
253,2022-05-07,2,218,종합운동장,승차,51,114,119,220,335,297,359,366,395,385,472,420,434,389,566,1063,3742,311,116,0
254,2022-05-07,2,218,종합운동장,하차,24,209,291,407,349,274,259,387,545,642,1595,3361,942,395,315,252,312,224,196,0
255,2022-05-08,2,218,종합운동장,승차,35,71,84,204,271,299,367,408,383,378,1311,2206,2939,602,204,205,139,1422,57,0
256,2022-05-08,2,218,종합운동장,하차,30,254,129,304,423,870,1196,1423,3207,747,518,691,826,539,292,222,194,156,124,0
257,2022-05-09,2,218,종합운동장,승차,72,269,738,1009,646,394,347,364,270,322,457,549,607,665,356,235,234,153,85,0
258,2022-05-09,2,218,종합운동장,하차,35,314,687,1254,557,367,231,354,308,353,388,434,564,988,657,413,348,373,249,0
259,2022-05-10,2,218,종합운동장,승차,64,235,832,1027,704,412,355,319,329,302,341,725,666,773,464,920,3825,1222,126,0
260,2022-05-10,2,218,종합운동장,하차,41,321,782,1190,521,401,263,326,370,466,548,811,2406,4331,1235,400,442,405,268,0
261,2022-05-11,2,218,종합운동장,승차,81,247,798,990,690,416,407,341,332,302,436,724,700,801,398,391,901,3187,136,0
262,2022-05-11,2,218,종합운동장,하차,35,300,757,1318,550,436,267,335,334,431,565,791,2181,2972,998,375,430,427,313,0
263,2022-05-12,2,218,종합운동장,승차,60,241,748,1018,609,407,370,340,302,327,336,686,665,754,422,563,1283,2865,148,0
264,2022-05-12,2,218,종합운동장,하차,48,306,708,1084,491,384,252,317,327,351,560,630,2302,3137,1073,394,441,454,296,0
265,2022-05-13,2,218,종합운동장,승차,83,242,735,966,702,401,357,334,364,373,573,649,907,802,427,691,3170,6375,189,0
266,2022-05-13,2,218,종합운동장,하차,36,281,662,1051,529,400,293,353,455,529,634,1292,5347,5785,1382,457,449,487,437,0
267,2022-05-14,2,218,종합운동장,승차,56,112,153,265,384,364,437,449,453,488,474,457,681,705,4022,6079,411,237,73,0
268,2022-05-14,2,218,종합운동장,하차,36,307,471,374,342,320,326,566,674,1199,3701,7177,1472,563,355,383,317,292,218,0
269,2022-05-15,2,218,종합운동장,승차,46,77,104,205,293,378,419,510,505,423,430,959,8759,801,544,307,310,107,75,0
270,2022-05-15,2,218,종합운동장,하차,23,341,397,417,486,585,872,3612,6109,1198,432,387,528,413,324,313,244,206,141,0
271,2022-05-16,2,218,종합운동장,승차,56,245,814,988,671,422,337,341,304,303,482,534,582,725,342,205,225,138,69,0
272,2022-05-16,2,218,종합운동장,하차,37,312,749,1272,526,363,278,371,295,322,393,407,625,967,626,375,380,377,256,0
273,2022-05-17,2,218,종합운동장,승차,67,262,793,960,694,432,564,498,316,336,396,750,619,785,436,461,638,1273,1469,0
274,2022-05-17,2,218,종합운동장,하차,36,360,904,1564,571,417,242,342,280,370,579,734,1955,2477,852,445,426,416,294,0
275,2022-05-18,2,218,종합운동장,승차,59,256,747,954,679,437,332,339,299,356,527,650,720,805,405,329,575,1559,1443,0
276,2022-05-18,2,218,종합운동장,하차,43,334,761,1262,573,377,248,369,357,412,502,675,1954,2524,823,387,354,460,350,0
277,2022-05-19,2,218,종합운동장,승차,80,255,740,1008,676,449,348,792,347,333,365,738,708,786,498,459,2195,1721,100,0
278,2022-05-19,2,218,종합운동장,하차,42,329,1227,1242,548,336,278,332,324,385,589,697,2118,2668,906,397,405,468,282,0
279,2022-05-20,2,218,종합운동장,승차,64,229,718,968,581,410,373,332,341,359,635,765,908,897,561,583,7068,754,2122,0
280,2022-05-20,2,218,종합운동장,하차,41,347,737,1067,526,361,297,405,419,688,1021,1456,4821,6161,1903,428,569,442,493,0
281,2022-05-21,2,218,종합운동장,승차,56,102,159,253,397,464,495,488,550,545,725,2476,7448,1019,418,2809,337,187,83,0
282,2022-05-21,2,218,종합운동장,하차,34,361,442,510,502,619,799,3352,7501,2204,1373,1545,537,362,303,381,316,356,269,0
283,2022-05-22,2,218,종합운동장,승차,40,93,85,211,278,358,454,563,477,404,434,772,1797,6430,457,2249,1022,156,81,0
284,2022-05-22,2,218,종합운동장,하차,36,266,271,368,449,619,750,2602,6684,1596,1362,1185,435,444,312,311,242,190,151,0
285,2022-05-23,2,218,종합운동장,승차,79,267,781,995,684,389,354,967,293,487,416,575,626,748,354,279,222,136,62,0
286,2022-05-23,2,218,종합운동장,하차,38,336,1381,1393,490,354,262,373,324,333,399,442,639,954,592,388,366,374,217,0
287,2022-05-24,2,218,종합운동장,승차,65,241,792,952,651,422,372,331,335,311,521,592,620,803,451,402,1284,1747,103,0
288,2022-05-24,2,218,종합운동장,하차,36,319,791,1259,510,422,255,339,305,446,491,653,1732,2366,827,444,389,408,256,0
289,2022-05-25,2,218,종합운동장,승차,83,233,759,1077,634,413,351,334,313,315,573,681,754,872,460,897,2400,584,63,0
290,2022-05-25,2,218,종합운동장,하차,37,341,831,1226,604,444,296,381,341,394,526,734,1821,2580,848,454,413,431,315,0
291,2022-05-26,2,218,종합운동장,승차,75,236,784,1050,634,464,374,352,327,286,358,547,738,765,559,681,2050,731,129,0
292,2022-05-26,2,218,종합운동장,하차,51,354,797,1113,557,341,299,314,345,396,597,619,1752,2282,849,449,493,417,339,0
293,2022-05-27,2,218,종합운동장,승차,69,228,757,1043,729,411,432,376,328,367,494,701,838,828,559,525,4591,6641,464,0
294,2022-05-27,2,218,종합운동장,하차,35,289,677,973,514,383,348,404,437,547,692,1352,5421,7643,1287,491,478,531,485,0
295,2022-05-28,2,218,종합운동장,승차,44,137,164,252,334,308,499,481,567,528,536,620,609,683,3408,6873,1638,4236,1143,0
296,2022-05-28,2,218,종합운동장,하차,37,393,481,466,393,369,359,561,856,1417,4216,7521,3529,3373,436,423,341,389,286,0
297,2022-05-29,2,218,종합운동장,승차,64,76,127,230,290,385,400,489,475,475,468,717,5584,1548,1672,1228,382,2963,2029,0
298,2022-05-29,2,218,종합운동장,하차,23,193,190,313,432,565,689,2275,5176,1611,1620,1531,1912,2965,385,268,258,261,172,0
299,2022-05-30,2,218,종합운동장,승차,88,262,777,1010,668,390,293,305,310,279,457,550,570,715,324,220,206,139,75,0
300,2022-05-30,2,218,종합운동장,하차,55,321,648,1373,469,317,240,313,302,292,337,371,628,1027,601,361,330,378,229,0
301,2022-05-31,2,218,종합운동장,승차,89,248,764,1070,660,404,361,326,296,310,605,727,676,803,567,430,1785,7296,268,0
302,2022-05-31,2,218,종합운동장,하차,40,320,800,1389,531,392,303,342,334,412,610,1230,4725,5723,1380,472,402,518,377,0
303,2022-06-01,2,218,종합운동장,승차,54,83,135,208,273,324,334,315,355,310,345,336,392,409,720,9547,661,244,77,0
304,2022-06-01,2,218,종합운동장,하차,29,160,204,306,251,234,221,382,513,846,3567,6920,1119,443,290,419,266,269,140,10
305,2022-06-02,2,218,종합운동장,승차,76,255,687,991,662,386,322,329,297,307,605,725,664,799,433,410,2917,3046,95,10
306,2022-06-02,2,218,종합운동장,하차,41,352,730,1367,460,334,258,385,313,403,585,948,3058,3684,1050,429,407,422,239,40
307,2022-06-03,2,218,종합운동장,승차,68,233,716,903,612,421,369,355,298,307,553,642,971,796,443,545,3704,451,101,2
308,2022-06-03,2,218,종합운동장,하차,47,303,653,1341,476,336,261,337,345,460,531,887,2492,3049,1055,425,410,377,276,37
309,2022-06-04,2,218,종합운동장,승차,59,118,153,264,322,423,409,441,452,532,456,507,491,404,729,5505,650,206,82,4
310,2022-06-04,2,218,종합운동장,하차,20,334,360,554,398,387,288,520,536,755,2277,4522,1066,393,253,316,242,255,183,8
311,2022-06-05,2,218,종합운동장,승차,48,71,92,203,251,344,330,384,401,336,335,271,299,333,3470,1876,342,176,146,5
312,2022-06-05,2,218,종합운동장,하차,52,306,372,301,314,364,255,302,401,630,1647,3679,736,301,245,216,223,186,132,14
313,2022-06-06,2,218,종합운동장,승차,42,71,80,122,187,208,256,256,243,232,234,251,282,227,225,247,119,112,61,4
314,2022-06-06,2,218,종합운동장,하차,26,115,146,224,182,162,185,174,221,272,247,297,359,305,257,235,238,184,128,9
315,2022-06-07,2,218,종합운동장,승차,73,264,755,1058,660,408,369,353,309,317,380,1136,660,730,386,363,2411,402,84,29
316,2022-06-07,2,218,종합운동장,하차,43,301,928,1694,541,399,264,396,347,393,467,690,1644,2228,841,394,404,371,209,67
317,2022-06-08,2,218,종합운동장,승차,80,257,748,1034,651,419,351,348,330,340,468,672,585,796,444,411,2157,651,88,23
318,2022-06-08,2,218,종합운동장,하차,38,347,726,1359,559,393,287,380,335,409,494,650,1640,2317,864,370,416,416,190,73
319,2022-06-09,2,218,종합운동장,승차,60,237,780,969,689,399,389,337,308,302,465,586,763,694,435,448,1178,2158,242,31
320,2022-06-09,2,218,종합운동장,하차,44,381,768,1138,521,426,263,330,270,413,497,607,1879,2664,888,378,422,398,229,96
321,2022-06-10,2,218,종합운동장,승차,70,238,748,992,567,392,406,359,344,383,941,591,705,767,476,529,2542,2836,191,46
322,2022-06-10,2,218,종합운동장,하차,34,297,955,1132,468,349,302,360,386,447,524,871,3000,4118,1085,407,401,417,257,143
323,2022-06-11,2,218,종합운동장,승차,63,112,186,270,370,356,423,378,402,399,416,419,522,571,789,5785,1376,301,104,2
324,2022-06-11,2,218,종합운동장,하차,34,456,687,473,432,380,323,547,607,1003,2256,5520,1249,412,316,311,310,272,232,5
325,2022-06-12,2,218,종합운동장,승차,59,57,88,191,259,657,607,551,425,389,328,379,334,388,568,1300,4398,252,77,0
326,2022-06-12,2,218,종합운동장,하차,31,301,504,843,385,413,312,296,423,587,1680,3925,873,380,305,184,228,172,117,1
327,2022-06-13,2,218,종합운동장,승차,61,270,743,1022,636,430,366,311,287,277,506,479,551,732,340,197,234,141,49,29
328,2022-06-13,2,218,종합운동장,하차,34,344,702,1237,466,362,257,378,303,302,368,412,564,1010,597,350,391,312,158,61
329,2022-06-14,2,218,종합운동장,승차,82,242,743,1030,671,462,384,474,348,350,506,767,705,853,415,575,2752,296,76,25
330,2022-06-14,2,218,종합운동장,하차,39,307,754,1309,618,444,347,469,325,418,516,719,1796,2534,885,340,456,346,231,77
331,2022-06-15,2,218,종합운동장,승차,71,238,751,954,658,424,394,311,328,308,471,634,606,769,433,462,2714,487,72,28
332,2022-06-15,2,218,종합운동장,하차,44,315,683,1256,522,374,259,376,355,359,499,625,1791,2585,844,390,449,373,215,90
333,2022-06-16,2,218,종합운동장,승차,68,231,740,980,653,410,368,326,299,326,346,707,715,888,451,507,3845,462,112,38
334,2022-06-16,2,218,종합운동장,하차,36,320,740,1162,491,347,272,365,363,378,561,778,2338,3042,1002,433,447,423,274,103
335,2022-06-17,2,218,종합운동장,승차,70,236,704,911,619,401,356,367,332,354,559,648,884,1227,471,376,721,2126,190,42
336,2022-06-17,2,218,종합운동장,하차,36,278,665,1209,526,352,308,522,750,433,514,751,1865,2286,883,411,396,431,291,162
337,2022-06-18,2,218,종합운동장,승차,63,122,159,289,354,397,470,570,709,752,859,922,947,667,1190,4140,1435,19927,1217,4
338,2022-06-18,2,218,종합운동장,하차,34,379,471,477,478,588,610,1186,2099,3752,5379,10156,7899,1332,466,466,560,969,308,16
339,2022-06-19,2,218,종합운동장,승차,55,90,83,179,256,344,396,506,474,466,439,463,515,581,1273,2489,1866,8535,303,12
340,2022-06-19,2,218,종합운동장,하차,33,379,383,336,501,519,379,525,822,1520,3366,6211,2877,407,301,302,292,303,133,19
341,2022-06-20,2,218,종합운동장,승차,100,290,779,945,590,420,339,288,292,336,532,586,600,732,387,238,229,153,77,30
342,2022-06-20,2,218,종합운동장,하차,34,310,636,1236,502,340,286,399,328,329,334,442,598,990,663,359,400,381,169,64
343,2022-06-21,2,218,종합운동장,승차,55,248,736,976,656,402,349,344,310,319,408,741,704,785,482,428,1983,1685,126,30
344,2022-06-21,2,218,종합운동장,하차,37,340,719,1192,532,384,272,354,341,394,553,760,1905,2752,981,405,403,410,179,102
345,2022-06-22,2,218,종합운동장,승차,86,238,725,972,621,388,351,313,329,335,518,728,701,819,468,500,3304,946,116,27
346,2022-06-22,2,218,종합운동장,하차,37,310,695,1206,557,313,291,370,367,446,539,767,2273,2947,1010,445,479,404,249,98
347,2022-06-23,2,218,종합운동장,승차,62,245,738,958,651,368,344,323,275,280,362,834,619,739,352,325,252,169,80,41
348,2022-06-23,2,218,종합운동장,하차,38,258,668,1101,599,317,255,344,332,330,430,436,585,870,629,393,396,410,214,103
349,2022-06-24,2,218,종합운동장,승차,78,221,712,915,615,397,409,465,407,481,716,686,796,947,757,1254,2552,12070,2502,60
350,2022-06-24,2,218,종합운동장,하차,40,264,772,1279,695,765,1153,1751,2306,2919,2758,2278,4830,4972,1158,438,459,647,331,138
351,2022-06-25,2,218,종합운동장,승차,74,104,222,372,379,421,477,490,508,585,596,562,605,575,973,2199,10910,6908,1723,3
352,2022-06-25,2,218,종합운동장,하차,27,370,516,592,628,733,1039,1717,2978,3622,5639,9072,2018,722,358,356,522,494,268,8
353,2022-06-26,2,218,종합운동장,승차,62,70,85,196,219,337,408,572,606,525,415,387,387,646,1373,7664,3465,5315,657,6
354,2022-06-26,2,218,종합운동장,하차,29,250,260,477,673,899,1029,1686,2570,3306,4266,6110,1370,442,282,323,361,354,174,10
355,2022-06-27,2,218,종합운동장,승차,75,236,760,979,604,418,298,300,316,279,633,490,576,693,386,232,195,149,58,23
356,2022-06-27,2,218,종합운동장,하차,38,316,886,1073,481,324,326,281,315,317,339,340,563,969,647,373,336,345,160,65
357,2022-06-28,2,218,종합운동장,승차,65,242,702,1000,602,413,331,344,305,355,396,709,649,783,392,374,1408,346,61,26
358,2022-06-28,2,218,종합운동장,하차,35,326,609,1061,494,379,259,343,327,373,495,593,1197,1609,810,352,411,378,224,85
359,2022-06-29,2,218,종합운동장,승차,71,210,716,959,672,448,444,431,338,342,425,459,596,1393,498,266,276,174,77,34
360,2022-06-29,2,218,종합운동장,하차,38,268,613,1087,546,372,293,357,361,343,432,469,948,1256,719,390,378,398,230,85
361,2022-06-30,2,218,종합운동장,승차,58,195,692,909,645,447,397,413,332,331,387,546,544,637,395,222,250,167,90,25
362,2022-06-30,2,218,종합운동장,하차,42,193,555,953,436,294,222,344,333,306,415,445,527,912,636,426,388,314,228,84
363,2022-07-01,2,218,종합운동장,승차,49,225,733,947,601,603,480,385,318,387,396,533,657,828,497,466,2639,3251,182,49
364,2022-07-01,2,218,종합운동장,하차,40,253,638,1012,462,394,310,344,393,474,621,975,3576,3672,1166,421,416,465,282,140
365,2022-07-02,2,218,종합운동장,승차,64,96,149,278,325,351,470,605,554,607,591,1164,880,653,1577,2994,8728,1982,117,2
366,2022-07-02,2,218,종합운동장,하차,28,305,427,454,547,753,831,1209,1376,1378,2219,4618,6838,1599,469,477,523,372,226,36
367,2022-07-03,2,218,종합운동장,승차,46,93,116,184,228,309,401,601,684,567,584,520,552,452,1256,3791,8104,2478,200,10
368,2022-07-03,2,218,종합운동장,하차,28,240,203,309,457,635,688,969,1208,2816,5749,5921,1659,782,591,417,420,243,154,9
369,2022-07-04,2,218,종합운동장,승차,85,225,773,1019,691,428,302,336,306,316,526,480,532,717,372,217,215,138,76,26
370,2022-07-04,2,218,종합운동장,하차,37,264,624,1039,468,294,246,327,271,302,393,374,575,965,659,447,345,382,193,66
371,2022-07-05,2,218,종합운동장,승차,55,256,711,988,768,442,346,384,337,330,345,644,650,744,439,406,739,2023,142,33
372,2022-07-05,2,218,종합운동장,하차,34,289,669,1072,480,348,262,365,294,379,518,752,1724,2132,789,427,445,409,207,97
373,2022-07-06,2,218,종합운동장,승차,91,233,721,1018,641,411,362,343,315,461,503,527,608,775,401,371,1714,411,124,31
374,2022-07-06,2,218,종합운동장,하차,37,238,603,1163,472,347,252,400,360,415,512,600,1345,1818,788,396,442,446,217,94
375,2022-07-07,2,218,종합운동장,승차,59,236,735,1016,656,405,359,384,359,297,443,760,735,759,391,323,491,1470,129,34
376,2022-07-07,2,218,종합운동장,하차,33,248,586,1192,605,351,268,374,323,354,491,560,1328,1710,703,397,442,434,209,109
377,2022-07-08,2,218,종합운동장,승차,73,201,726,995,608,395,370,345,309,332,654,744,790,742,416,496,1898,3247,231,33
378,2022-07-08,2,218,종합운동장,하차,40,217,542,1082,519,349,253,360,369,419,550,1129,3209,3251,988,380,401,456,259,115
379,2022-07-09,2,218,종합운동장,승차,56,106,168,268,345,382,357,434,434,519,487,606,580,401,528,615,1677,6348,317,2
380,2022-07-09,2,218,종합운동장,하차,36,398,477,457,485,464,334,412,472,642,855,2769,5273,1495,427,291,316,436,210,7
381,2022-07-10,2,218,종합운동장,승차,51,79,79,197,234,355,357,502,455,364,385,378,296,335,681,4376,555,194,56,1
382,2022-07-10,2,218,종합운동장,하차,34,299,247,407,429,526,317,314,460,574,1404,3654,881,351,289,295,241,195,134,4
383,2022-07-11,2,218,종합운동장,승차,73,241,729,976,655,376,324,345,352,475,437,437,575,668,293,212,233,153,39,21
384,2022-07-11,2,218,종합운동장,하차,34,333,698,1106,449,304,283,326,304,345,352,407,602,1009,601,401,385,310,141,58
385,2022-07-12,2,218,종합운동장,승차,65,252,752,1014,639,412,350,387,294,460,514,779,633,838,553,784,2840,4109,153,36
386,2022-07-12,2,218,종합운동장,하차,34,381,601,1133,665,374,279,367,340,454,648,1249,3920,3915,1122,421,412,442,200,91
387,2022-07-13,2,218,종합운동장,승차,72,218,736,959,649,349,326,294,253,603,483,898,577,716,307,219,317,138,63,43
388,2022-07-13,2,218,종합운동장,하차,36,266,624,1096,441,296,339,329,346,328,457,378,584,1002,658,395,354,333,197,81
389,2022-07-14,2,218,종합운동장,승차,60,244,711,1010,660,372,355,665,378,540,624,474,697,893,411,548,3113,4592,217,44
390,2022-07-14,2,218,종합운동장,하차,38,229,694,1516,520,397,264,404,359,457,792,1072,4185,4433,1121,473,434,494,233,98
391,2022-07-15,2,218,종합운동장,승차,55,218,681,940,621,577,428,443,489,589,1077,939,961,1039,649,820,1745,12561,5655,155
392,2022-07-15,2,218,종합운동장,하차,33,280,733,1451,696,458,530,691,991,1825,4627,8632,7021,5229,1079,470,422,593,378,117
393,2022-07-16,2,218,종합운동장,승차,71,132,170,278,348,395,483,603,689,697,691,827,1009,421,585,768,3507,18787,9476,5
394,2022-07-16,2,218,종합운동장,하차,28,257,307,429,642,492,546,1040,1716,4001,8192,13521,9449,2975,492,358,432,587,401,13
395,2022-07-17,2,218,종합운동장,승차,55,75,112,178,245,348,465,645,639,684,739,657,467,409,490,2168,1129,7502,7276,2
396,2022-07-17,2,218,종합운동장,하차,29,276,298,300,588,499,479,759,1214,2635,5535,7670,3894,1592,301,335,256,356,259,16
397,2022-07-18,2,218,종합운동장,승차,99,255,756,948,638,381,384,343,298,390,361,416,579,713,314,272,224,164,61,39
398,2022-07-18,2,218,종합운동장,하차,32,418,638,1082,544,315,261,321,311,315,380,396,601,996,642,347,368,350,145,80
399,2022-07-19,2,218,종합운동장,승차,60,224,725,963,837,426,388,365,311,574,420,602,623,778,499,219,230,177,83,33
400,2022-07-19,2,218,종합운동장,하차,37,409,526,917,516,317,254,343,327,354,360,428,650,993,643,383,359,384,211,84
401,2022-07-20,2,218,종합운동장,승차,79,219,737,977,631,430,352,372,307,483,604,466,644,726,354,272,230,178,70,30
402,2022-07-20,2,218,종합운동장,하차,32,397,673,835,462,345,301,358,315,359,386,382,565,973,617,372,394,406,232,74
403,2022-07-21,2,218,종합운동장,승차,62,217,630,890,643,382,423,479,287,441,378,410,638,715,387,278,248,197,69,28
404,2022-07-21,2,218,종합운동장,하차,36,263,478,781,473,420,321,368,292,360,404,397,590,917,608,378,382,382,199,78
405,2022-07-22,2,218,종합운동장,승차,71,209,630,932,610,388,378,362,337,465,429,497,613,736,379,530,788,3408,197,31
406,2022-07-22,2,218,종합운동장,하차,36,248,490,754,481,338,312,343,376,513,586,744,2324,2758,919,407,314,434,234,97
407,2022-07-23,2,218,종합운동장,승차,44,105,151,277,301,287,345,382,356,383,383,388,2134,2095,400,210,196,190,65,7
408,2022-07-23,2,218,종합운동장,하차,29,382,442,384,305,344,306,376,445,534,659,1514,2548,453,244,267,255,270,145,35
409,2022-07-24,2,218,종합운동장,승차,39,64,95,176,192,290,322,397,383,420,305,396,341,266,368,3157,493,208,45,9
410,2022-07-24,2,218,종합운동장,하차,28,235,228,287,378,391,284,240,380,498,1010,2551,704,350,270,278,224,201,117,12
411,2022-07-25,2,218,종합운동장,승차,60,227,668,911,606,394,346,308,319,339,387,441,524,672,365,237,213,164,56,18
412,2022-07-25,2,218,종합운동장,하차,33,365,499,754,476,374,289,337,332,290,350,395,594,904,560,351,375,306,142,69
413,2022-07-26,2,218,종합운동장,승차,64,202,685,976,635,419,338,332,290,395,398,412,592,719,400,488,3417,370,98,26
414,2022-07-26,2,218,종합운동장,하차,34,248,513,816,530,373,304,349,319,400,507,701,2323,2354,681,373,419,369,147,74
415,2022-07-27,2,218,종합운동장,승차,70,216,648,888,621,383,335,362,325,418,373,473,699,655,387,402,669,2745,213,28
416,2022-07-27,2,218,종합운동장,하차,33,294,504,780,495,326,274,392,317,415,537,665,1940,2261,877,380,401,398,192,77
417,2022-07-28,2,218,종합운동장,승차,65,216,653,912,609,379,348,318,285,389,356,434,670,699,358,676,4801,2616,105,31
418,2022-07-28,2,218,종합운동장,하차,39,284,434,684,452,341,275,456,329,524,758,1014,3850,3924,943,384,453,466,197,78
419,2022-07-29,2,218,종합운동장,승차,56,201,587,918,633,339,338,374,335,389,379,478,821,706,442,600,2696,1662,129,31
420,2022-07-29,2,218,종합운동장,하차,30,365,461,756,484,357,316,403,372,407,596,826,2684,2705,791,386,351,395,219,105
421,2022-07-30,2,218,종합운동장,승차,46,83,141,207,258,353,339,382,312,329,327,369,1565,430,390,809,3832,720,95,0
422,2022-07-30,2,218,종합운동장,하차,22,319,279,344,310,336,401,464,469,999,937,1600,3377,715,276,246,323,273,180,4
423,2022-07-31,2,218,종합운동장,승차,27,74,79,170,194,274,292,407,339,611,654,447,596,307,206,165,141,102,51,5
424,2022-07-31,2,218,종합운동장,하차,23,177,155,317,364,440,701,386,315,482,464,275,289,285,225,217,197,183,125,9
425,2022-08-01,2,218,종합운동장,승차,61,178,567,838,548,323,246,233,269,248,250,328,485,611,316,186,165,111,45,24
426,2022-08-01,2,218,종합운동장,하차,32,276,414,673,412,231,185,266,221,231,274,300,481,875,575,353,348,294,150,67
427,2022-08-02,2,218,종합운동장,승차,58,191,620,808,553,364,261,267,267,329,284,338,507,2486,520,226,193,127,43,38
428,2022-08-02,2,218,종합운동장,하차,30,225,390,629,408,233,225,247,258,304,448,538,1738,1419,619,340,335,365,152,58
429,2022-08-03,2,218,종합운동장,승차,70,178,543,733,524,353,307,307,286,336,268,391,541,611,331,337,559,3227,189,27
430,2022-08-03,2,218,종합운동장,하차,29,180,378,620,411,247,349,314,304,333,452,681,2270,2357,659,379,370,383,164,69
431,2022-08-04,2,218,종합운동장,승차,67,199,641,820,548,360,307,287,317,323,296,401,625,678,381,373,1887,2156,126,33
