경기날짜,요일,홈,방문,구장,경기시작,관중수
2022-09-08,목,두산,한화,잠실,18:30,4757
2022-09-09,금,두산,한화,잠실,14:00,5691
2022-09-10,토,두산,KIA,잠실,14:00,13433
2022-09-11,일,두산,KIA,잠실,14:00,20681
2022-09-13,화,두산,LG,잠실,18:30,6803
2022-09-14,수,두산,LG,잠실,18:30,7098
2022-09-15,목,LG,KT,잠실,18:30,9614
2022-09-17,토,LG,한화,잠실,17:00,20104
2022-09-18,일,LG,한화,잠실,14:00,16798
2022-09-20,화,두산,NC,잠실,18:30,7386
2022-09-21,수,두산,NC,잠실,18:30,4683
2022-09-22,목,LG,롯데,잠실,18:30,18034
2022-09-23,금,LG,롯데,잠실,18:30,19377
2022-09-24,토,LG,한화,잠실,17:00,16775
2022-09-25,일,두산,한화,잠실,14:00,9590
2022-09-29,목,LG,KT,잠실,18:30,10859
2022-09-30,금,LG,NC,잠실,18:30,11076
2022-10-01,토,LG,NC,잠실,17:00,17282
2022-10-02,일,LG,NC,잠실,14:00,15711
2022-10-04,화,LG,KIA,잠실,18:30,13385
2022-10-05,수,두산,SSG,잠실,18:30,9474
2022-10-06,목,두산,삼성,잠실,18:30,7350
2022-10-07,금,두산,삼성,잠실,18:30,11681
2022-10-08,토,두산,키움,잠실,17:00,23511
2022-10-11,화,LG,KT,잠실,18:30,10092
